"Område","Ort / Stad","Postkod","Verkstad","Adress","Telefonnr.","  Email ","  Maskinskador","  Plåt & Lack","Reparerar alla märken utanför vagnskadegarantin?","Auktoriserade märken (OBS!)","",""
"Göteborg","Bäckebol","422 46 ","Din Bil Bäckebol","Transportgatan 57B","031-750 15 00","skodabackebolkm@skodagoteborg.se","Ja","Nej","Nej","Skoda","",""
"Göteborg","Eklanda","431 49","Din Bil Eklanda","Jolengatan 21","031-750 15 00","km.skoda@skodagoteborg.se","Ja","Nej","Nej","Skoda","",""
"Göteborg","Göteborg","412 63","Din Bil Göteborg (Grafiska)","Grafiska vägen 4","031-750 15 00","bokning.grafiska@dinbil.se","Ja","Ja","Nej","VW","",""
"Göteborg","Göteborg Tagene","425 37","Werksta Göteborg Tagene","Trankärrsgatan 14","0770-73 00 00","kundcenter@werksta.se","Nej","Ja","Ja","Tesla, Mazda, Hyundai, Citroen, Iveco, Ligier, Microcar, ","",""
"Göteborg","Hisings Backa","422 23","Din Bil Aröd","Exportgatan 23 a","031-750 15 00","Dbgb.kmbacka@dinbil.se","Ja","Nej","Nej","VW PB & TRP","",""
"Göteborg","Hisings Kärra","425 37","Mechanum Skademottagning Tagene","Trankärrsgatan 16","010-516 80 00","info@mechanum.com","Ja","Ja","Nej","Volkswagen, Audi, Skoda, Saab, Opel, Volvo","",""
"Göteborg","Kungsbacka","434 39","Werksta Kungsbacka","Tölöleden 2","0770-73 00 00","kundcenter@werksta.se","Nej","Ja","Ja","Tesla, Opel, SAAB, Chevrolet, Iveco, Ligier, Microcar,Fiat, Alfa Romeo, Jeep, Lancia, ","",""
"Göteborg","Kungsbacka","434 37","Din Bil Kungsbacka","Faktorvägen 8","031-750 15 00","dbgb.kungsbackakm@dinbil.se","Ja","Nej","Nej","VW PB, TRP, Audi & Skoda","",""
"Göteborg","Kungälv","442 40","Werksta Kungälv","Traktorgatan 13","0770-73 00 00","kundcenter@werksta.se","Nej","Ja","Ja","Tesla, Iveco, Ligier, Microcar, ","",""
"Göteborg","Mölndal","431 53","Mechanum Mölndal","ArgonGatan 6","010-516 80 00","leaseplan@mechanum.com","Ja","Nej","Nej","BMW, Mini, Audi, VW, VW Transport, Skoda, Seat, Volvo, Ford, Opel, Saab","",""
"Göteborg","Mölndal","431 49","Din Bil Mölndal","Arnegårdsgatan 14","031-750 14 00","boka@audigoteborg.se","Ja","Nej","Nej","Audi","",""
"Göteborg","Partille","433 38","Mechanum Skadeverkstad Partille","Benjamins väg 12","010-516 80 00","info@mechanum.com","Ja","Ja","Nej","Audi, SEAT, Skoda, Saab, Opel, Volvo, Ford, BMW, MINI, Mercedes-Benz","",""
